goals,group_id,group_name,group_order_id,icon_url_team1,icon_url_team2,id_team1,id_team2,last_update,league_id,league_name,league_saison,league_shortcut,location,match_date_time,match_date_time_utc,match_id,match_is_finished,match_results,name_team1,name_team2,number_of_viewers,points_team1,points_team2,time_zone_id
"{u'goal': [{u'goal_own_goal': False, u'goal_mach_id': u'5275', u'goal_match_minute': u'71', u'goal_comment': None, u'goal_getter_name': u'Misimovic', u'goal_overtime': False, u'goal_id': u'126', u'goal_getter_id': u'73', u'goal_penalty': False, u'goal_score_team2': u'0', u'goal_score_team1': u'1'}, {u'goal_own_goal': False, u'goal_mach_id': u'5275', u'goal_match_minute': u'82', u'goal_comment': None, u'goal_getter_name': u'Grafite', u'goal_overtime': False, u'goal_id': u'128', u'goal_getter_id': u'72', u'goal_penalty': False, u'goal_score_team2': u'0', u'goal_score_team1': u'2'}]}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/VfL_Wolfsburg.gif,http://www.openligadb.de/images/teamicons/VfB_Stuttgart.gif,131,16,2009-08-15T20:43:13+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'Wolfsburg', u'location_stadium': u'Volkswagen Arena ', u'location_id': u'20'}",2009-08-07T20:30:00+00:00,2009-08-07T18:30:00+00:00,5275,True,"{u'match_result': [{u'points_team1': u'2', u'points_team2': u'0', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'0', u'points_team2': u'0', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",VfL Wolfsburg,VfB Stuttgart,30000.0,2,0,W. Europe Standard Time
"{u'goal': {u'goal_own_goal': True, u'goal_mach_id': u'5276', u'goal_match_minute': u'75', u'goal_comment': None, u'goal_getter_name': u'Matip', u'goal_overtime': False, u'goal_id': u'133', u'goal_getter_id': u'108', u'goal_penalty': False, u'goal_score_team2': u'0', u'goal_score_team1': u'1'}}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/Borussia_Dortmund.gif,http://www.openligadb.de/images/teamicons/1_FC_Koeln.gif,7,65,2009-08-08T17:44:18+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'Dortmund', u'location_stadium': u'Signal Iduna Park', u'location_id': u'35'}",2009-08-08T15:30:00+00:00,2009-08-08T13:30:00+00:00,5276,True,"{u'match_result': [{u'points_team1': u'1', u'points_team2': u'0', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'0', u'points_team2': u'0', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",Borussia Dortmund,1. FC Köln,78200.0,1,0,W. Europe Standard Time
"{u'goal': [{u'goal_own_goal': False, u'goal_mach_id': u'5277', u'goal_match_minute': u'36', u'goal_comment': None, u'goal_getter_name': u'Kuranyi', u'goal_overtime': False, u'goal_id': u'129', u'goal_getter_id': u'100', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5277', u'goal_match_minute': u'50', u'goal_comment': None, u'goal_getter_name': u'Kuranyi', u'goal_overtime': False, u'goal_id': u'130', u'goal_getter_id': u'100', u'goal_penalty': False, u'goal_score_team2': u'2', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5277', u'goal_match_minute': u'88', u'goal_comment': None, u'goal_getter_name': u'Mintal', u'goal_overtime': False, u'goal_id': u'131', u'goal_getter_id': u'77', u'goal_penalty': False, u'goal_score_team2': u'2', u'goal_score_team1': u'1'}]}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/1_FC_Nuernberg.gif,http://www.openligadb.de/images/teamicons/FC_Schalke_04.gif,79,9,2009-08-08T17:35:25+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'N\xfcrnberg', u'location_stadium': u'easyCredit Stadion', u'location_id': u'21'}",2009-08-08T15:30:00+00:00,2009-08-08T13:30:00+00:00,5277,True,"{u'match_result': [{u'points_team1': u'1', u'points_team2': u'2', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'0', u'points_team2': u'1', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",1. FC Nürnberg,FC Schalke 04,46780.0,1,2,W. Europe Standard Time
"{u'goal': [{u'goal_own_goal': False, u'goal_mach_id': u'5279', u'goal_match_minute': u'6', u'goal_comment': None, u'goal_getter_name': u'Amanatidis', u'goal_overtime': False, u'goal_id': u'134', u'goal_getter_id': u'109', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5279', u'goal_match_minute': u'13', u'goal_comment': None, u'goal_getter_name': u'\xd6zil', u'goal_overtime': False, u'goal_id': u'135', u'goal_getter_id': u'110', u'goal_penalty': True, u'goal_score_team2': u'1', u'goal_score_team1': u'1'}, {u'goal_own_goal': False, u'goal_mach_id': u'5279', u'goal_match_minute': u'42', u'goal_comment': None, u'goal_getter_name': u'Amanatidis', u'goal_overtime': False, u'goal_id': u'136', u'goal_getter_id': u'109', u'goal_penalty': False, u'goal_score_team2': u'2', u'goal_score_team1': u'1'}, {u'goal_own_goal': False, u'goal_mach_id': u'5279', u'goal_match_minute': u'44', u'goal_comment': None, u'goal_getter_name': u'Sanogo', u'goal_overtime': False, u'goal_id': u'137', u'goal_getter_id': u'111', u'goal_penalty': False, u'goal_score_team2': u'2', u'goal_score_team1': u'2'}, {u'goal_own_goal': False, u'goal_mach_id': u'5279', u'goal_match_minute': u'71', u'goal_comment': None, u'goal_getter_name': u'Fenin', u'goal_overtime': False, u'goal_id': u'138', u'goal_getter_id': u'112', u'goal_penalty': False, u'goal_score_team2': u'3', u'goal_score_team1': u'2'}]}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/werder_bremen.gif,http://www.openligadb.de/images/teamicons/Eintracht_Frankfurt.gif,134,91,2009-08-08T17:45:54+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'Bremen', u'location_stadium': u'Weserstadion', u'location_id': u'36'}",2009-08-08T15:30:00+00:00,2009-08-08T13:30:00+00:00,5279,True,"{u'match_result': [{u'points_team1': u'2', u'points_team2': u'3', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'2', u'points_team2': u'2', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",Werder Bremen,Eintracht Frankfurt,33000.0,2,3,W. Europe Standard Time
"{u'goal': {u'goal_own_goal': False, u'goal_mach_id': u'5280', u'goal_match_minute': u'82', u'goal_comment': None, u'goal_getter_name': u'Kacar', u'goal_overtime': False, u'goal_id': u'132', u'goal_getter_id': u'107', u'goal_penalty': False, u'goal_score_team2': u'0', u'goal_score_team1': u'1'}}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/Hertha_BSC.gif,http://www.openligadb.de/images/teamicons/Hannover_96.gif,54,55,2009-08-08T17:42:05+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'Berlin', u'location_stadium': u'Olympiastadion', u'location_id': u'22'}",2009-08-08T15:30:00+00:00,2009-08-08T13:30:00+00:00,5280,True,"{u'match_result': [{u'points_team1': u'1', u'points_team2': u'0', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'0', u'points_team2': u'0', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",Hertha BSC,Hannover 96,42169.0,1,0,W. Europe Standard Time
"{u'goal': [{u'goal_own_goal': False, u'goal_mach_id': u'5281', u'goal_match_minute': u'5', u'goal_comment': None, u'goal_getter_name': u'Hoogland', u'goal_overtime': False, u'goal_id': u'139', u'goal_getter_id': u'113', u'goal_penalty': False, u'goal_score_team2': u'0', u'goal_score_team1': u'1'}, {u'goal_own_goal': False, u'goal_mach_id': u'5281', u'goal_match_minute': u'42', u'goal_comment': None, u'goal_getter_name': u'Derdiyok', u'goal_overtime': False, u'goal_id': u'140', u'goal_getter_id': u'68', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'1'}, {u'goal_own_goal': False, u'goal_mach_id': u'5281', u'goal_match_minute': u'43', u'goal_comment': None, u'goal_getter_name': u'Kie\xdfling', u'goal_overtime': False, u'goal_id': u'141', u'goal_getter_id': u'114', u'goal_penalty': False, u'goal_score_team2': u'2', u'goal_score_team1': u'1'}, {u'goal_own_goal': False, u'goal_mach_id': u'5281', u'goal_match_minute': u'82', u'goal_comment': None, u'goal_getter_name': u'Gunkel', u'goal_overtime': False, u'goal_id': u'142', u'goal_getter_id': u'115', u'goal_penalty': False, u'goal_score_team2': u'2', u'goal_score_team1': u'2'}]}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/1_FSV_Mainz_05.gif,http://www.openligadb.de/images/teamicons/Bayer_Leverkusen.gif,81,6,2009-08-14T18:41:53+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'Mainz', u'location_stadium': u'Bruchwegstadion', u'location_id': u'23'}",2009-08-08T15:30:00+00:00,2009-08-08T13:30:00+00:00,5281,True,"{u'match_result': [{u'points_team1': u'2', u'points_team2': u'2', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'1', u'points_team2': u'2', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",1. FSV Mainz 05,Bayer 04 Leverkusen,20000.0,2,2,W. Europe Standard Time
"{u'goal': [{u'goal_own_goal': False, u'goal_mach_id': u'5282', u'goal_match_minute': u'25', u'goal_comment': None, u'goal_getter_name': u'Olic', u'goal_overtime': False, u'goal_id': u'143', u'goal_getter_id': u'116', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5282', u'goal_match_minute': u'42', u'goal_comment': None, u'goal_getter_name': u'Obasi', u'goal_overtime': False, u'goal_id': u'144', u'goal_getter_id': u'117', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'1'}]}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/TSG_Hoffenheim.gif,http://www.openligadb.de/images/teamicons/Bayern_Muenchen.gif,123,40,2009-08-14T18:39:58+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'Sinsheim', u'location_stadium': u'Rhein Neckar Arena', u'location_id': u'24'}",2009-08-08T18:30:00+00:00,2009-08-08T16:30:00+00:00,5282,True,"{u'match_result': [{u'points_team1': u'1', u'points_team2': u'1', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'1', u'points_team2': u'1', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",TSG 1899 Hoffenheim,FC Bayern München,30150.0,1,1,W. Europe Standard Time
"{u'goal': [{u'goal_own_goal': False, u'goal_mach_id': u'5283', u'goal_match_minute': u'19', u'goal_comment': None, u'goal_getter_name': u'Arango', u'goal_overtime': False, u'goal_id': u'151', u'goal_getter_id': u'90', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5283', u'goal_match_minute': u'26', u'goal_comment': None, u'goal_getter_name': u'Colautti', u'goal_overtime': False, u'goal_id': u'152', u'goal_getter_id': u'91', u'goal_penalty': False, u'goal_score_team2': u'2', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5283', u'goal_match_minute': u'41', u'goal_comment': None, u'goal_getter_name': u'Brouwers', u'goal_overtime': False, u'goal_id': u'153', u'goal_getter_id': u'123', u'goal_penalty': False, u'goal_score_team2': u'3', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5283', u'goal_match_minute': u'51', u'goal_comment': None, u'goal_getter_name': u'Azaouagh', u'goal_overtime': False, u'goal_id': u'154', u'goal_getter_id': u'124', u'goal_penalty': False, u'goal_score_team2': u'3', u'goal_score_team1': u'1'}, {u'goal_own_goal': False, u'goal_mach_id': u'5283', u'goal_match_minute': u'52', u'goal_comment': None, u'goal_getter_name': u'Azaouagh', u'goal_overtime': False, u'goal_id': u'155', u'goal_getter_id': u'124', u'goal_penalty': False, u'goal_score_team2': u'3', u'goal_score_team1': u'2'}, {u'goal_own_goal': False, u'goal_mach_id': u'5283', u'goal_match_minute': u'63', u'goal_comment': None, u'goal_getter_name': u'Sestak', u'goal_overtime': False, u'goal_id': u'156', u'goal_getter_id': u'125', u'goal_penalty': False, u'goal_score_team2': u'3', u'goal_score_team1': u'3'}]}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/VfL_Bochum.gif,http://www.openligadb.de/images/teamicons/Bor_Moenchengladbach.gif,129,87,2009-08-14T18:39:38+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'Bochum', u'location_stadium': u'rewirpower Stadion', u'location_id': u'25'}",2009-08-09T15:30:00+00:00,2009-08-09T13:30:00+00:00,5283,True,"{u'match_result': [{u'points_team1': u'3', u'points_team2': u'3', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'0', u'points_team2': u'3', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",VfL Bochum,Borussia Mönchengladbach,29766.0,3,3,W. Europe Standard Time
"{u'goal': [{u'goal_own_goal': False, u'goal_mach_id': u'5278', u'goal_match_minute': u'3', u'goal_comment': None, u'goal_getter_name': u'Pitroipa', u'goal_overtime': False, u'goal_id': u'157', u'goal_getter_id': u'126', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5278', u'goal_match_minute': u'65', u'goal_comment': None, u'goal_getter_name': u'Bechmann', u'goal_overtime': False, u'goal_id': u'158', u'goal_getter_id': u'127', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'1'}]}",235,1. Spieltag,1,http://www.openligadb.de/images/teamicons/SC_Freiburg.gif,http://www.openligadb.de/images/teamicons/Hamburger_SV.gif,112,100,2009-08-14T18:38:36+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'Freiburg', u'location_stadium': u'badenova Stadion', u'location_id': u'26'}",2009-08-09T17:30:00+00:00,2009-08-09T15:30:00+00:00,5278,True,"{u'match_result': [{u'points_team1': u'1', u'points_team2': u'1', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'0', u'points_team2': u'1', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",SC Freiburg,Hamburger SV,24000.0,1,1,W. Europe Standard Time
"{u'goal': [{u'goal_own_goal': False, u'goal_mach_id': u'5284', u'goal_match_minute': u'39', u'goal_comment': None, u'goal_getter_name': u'\xd6zil', u'goal_overtime': False, u'goal_id': u'319', u'goal_getter_id': u'110', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'0'}, {u'goal_own_goal': False, u'goal_mach_id': u'5284', u'goal_match_minute': u'72', u'goal_comment': None, u'goal_getter_name': u'Gomez', u'goal_overtime': False, u'goal_id': u'320', u'goal_getter_id': u'228', u'goal_penalty': False, u'goal_score_team2': u'1', u'goal_score_team1': u'1'}]}",236,2. Spieltag,2,http://www.openligadb.de/images/teamicons/Bayern_Muenchen.gif,http://www.openligadb.de/images/teamicons/werder_bremen.gif,40,134,2009-08-15T21:20:23+00:00,71,1. Fussball-Bundesliga 2009/2010,2009,bl1,"{u'location_city': u'M\xfcnchen', u'location_stadium': u'Allianz Arena', u'location_id': u'34'}",2009-08-15T15:30:00+00:00,2009-08-15T13:30:00+00:00,5284,True,"{u'match_result': [{u'points_team1': u'1', u'points_team2': u'1', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Endergebnis', u'result_order_id': u'1'}, {u'points_team1': u'0', u'points_team2': u'1', u'result_type_name': u'undefined', u'result_type_id': u'-1', u'result_name': u'Halbzeitergebnis', u'result_order_id': u'2'}]}",FC Bayern München,Werder Bremen,69000.0,1,1,W. Europe Standard Time
